time,board,price,rate,quantity,volume,market,origin,tradeStatus,nemotecnico,fecha_dia
09:42,RTES,95.183,14.16,2000000000,1911880000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:01,RTES,95.085,14.195,3000000000,2864880000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:12,RTES,95.127,14.18,3000000000,2866140000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:23,RTES,95.323,14.11,10000000000,9580250000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:26,RTES,95.127,14.18,1000000000,955380000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:55,RTES,95.169,14.165,1000000000,955800000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:02,RTES,95.197,14.155,5500000000,5258440000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:06,RTES,95.071,14.2,20000000000,19096400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:09,RTES,95.071,14.2,20000000000,19096400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:19,RTES,95.167,14.165,1000000000,955780000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:24,RTES,95.158,14.169,3500000000,3344915000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
11:48,RTES,95.161,14.168,10000000000,9557200000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:03,RTES,95.183,14.16,3000000000,2867820000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:03,RTES,95.172,14.164,4500000000,4301235000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:09,RTES,95.183,14.16,830000000,793430200,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:18,RTES,95.141,14.175,2000000000,1911040000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:23,RTES,95.547,14.03,940000000,902005200,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:23,RTES,95.099,14.19,3000000000,2865300000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:27,RTES,95.105,14.188,4000000000,3820640000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:27,RTES,95.105,14.188,6000000000,5730960000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:30,RTES,95.155,14.17,44500000000,42526870000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:32,RTES,95.183,14.16,10000000000,9559400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:33,RTES,95.267,14.13,30000000000,28703400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:34,RTES,95.267,14.13,12000000000,11481360000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:34,RTES,95.155,14.17,44500000000,42526870000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:35,RTES,95.043,14.21,3000000000,2863620000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:39,RTES,95.057,14.205,1000000000,954680000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:41,RTES,95.211,14.15,15000000000,14343300000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:42,RTES,94.988,14.23,10000000000,9539900000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:43,RTES,95.239,14.14,52500000000,50216250000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:43,RTES,95.239,14.14,84500000000,80824250000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:45,RTES,95.177,14.162,500000000,477940000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:46,RTES,95.071,14.2,4500000000,4296690000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:50,RTES,95.267,14.13,2000000000,1913560000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:51,RTES,95.015,14.22,2000000000,1909204000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:53,RTES,95.08,14.197,2000000000,1909820000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:55,RTES,94.96,14.24,2500000000,2384275000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:56,RTES,95.08,14.197,7500000000,7161825000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
12:56,RTES,95.08,14.197,500000000,477455000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:01,RTES,94.946,14.245,10000000000,9535700000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:01,RTES,94.793,14.3,10000000000,9520400000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:04,RTES,94.96,14.24,10000000000,9537100000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:05,RTES,95.211,14.15,500000000,478110000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:08,RTES,94.821,14.29,30000000000,28569600000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:19,RTES,95.267,14.13,8982100000,8593893638,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
13:34,RTES,95.267,14.13,40000000000,38298600000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05270230,2026-03-11
10:49,RTES,91.404,13.45,30000000000,27884760000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT11240135,2026-03-11
