Date,SVENY01,SVENY02,SVENY03,SVENY05,SVENY07,SVENY10,SVENY20,SVENY30,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1985-11-25,7.8551,8.3626,8.7469,9.2686,9.5924,9.8969,10.4428,10.7618,11.5810306282485,-4.40092278524114,-618.930843769627,619.464293142355,4.37388682468365,4.36076744378776
1985-12-05,7.852,8.3516,8.7219,9.2172,9.527,9.8288,10.3686,10.6358,11.229618008329,-4.06194395459063,-619.015906148687,619.379255161688,3.57931436866714,3.57178991828901
1985-12-16,7.5702,7.967,8.2815,8.7434,9.0647,9.3995,9.9767,10.2307,10.7712179950831,-3.71015200879135,-619.32699000061,619.068923039555,3.53358628871727,3.52997501191412
1985-12-26,7.6322,7.9513,8.2108,8.6079,8.9005,9.2265,9.8559,10.1614,10.8363120936885,-3.6037922438535,-619.654893643113,618.7415008099,3.85125940905277,3.84648692064838
1986-01-07,7.617,7.9314,8.1802,8.5498,8.8175,9.1198,9.7542,10.0924,10.8658913787692,-3.65506799592109,-619.771844065108,618.624701946845,3.93589339022457,3.92865805366033
1986-01-16,7.8616,8.2196,8.4994,8.9037,9.182,9.475,10.0219,10.2907,10.8902967165827,-3.49478521865349,-619.373995963029,619.022204638038,3.80413061897965,3.79854566107047
1986-01-28,7.6363,7.9898,8.2608,8.6547,8.9397,9.2648,9.9206,10.2317,10.8931648254507,-3.7344567140986,-619.834556591509,618.562469168472,3.23211280260283,3.22613081736534
1986-02-06,7.6206,7.9359,8.2026,8.6264,8.9445,9.2901,9.8699,10.1029,10.5798583216976,-3.33606996917176,-619.681043644071,618.715703703416,3.15571671581673,3.15451268746624
1986-02-18,7.5881,7.8364,8.0364,8.348,8.5902,8.8781,9.4558,9.7206,10.2765884546552,-3.00960342286831,-619.945649969903,618.451096326813,3.14608163442799,3.14198892844558
1986-02-27,7.496,7.7021,7.8364,8.0014,8.1154,8.2649,8.654,8.8592,9.29753677748053,-2.13098162786174,-619.667272744249,618.727530630152,3.00972717405628,3.00337637416502
1986-03-10,7.0757,7.2252,7.3509,7.5696,7.7681,8.0375,8.6467,8.9365,9.54464458427561,-2.66183821393658,-620.35346026821,618.043200155422,3.05065409887951,3.04563834501967
1986-03-19,7.0211,7.224,7.3812,7.6196,7.8046,8.0281,8.4837,8.6901,9.11909242054379,-2.37451225954941,-619.815265489953,618.578866768402,2.93499990459686,2.93130869697855
1986-03-31,6.829,7.0092,7.1372,7.3023,7.405,7.5091,7.7046,7.7964,7.99072353365456,-1.42159773841955,-619.190513292864,619.200480062292,3.07517738287191,3.07275644186927
1986-04-09,6.5421,6.724,6.8794,7.1221,7.2932,7.458,7.6568,7.7066,7.79125151927199,-1.45989002429342,-618.971742978747,619.419503363613,3.55556957618745,3.55731158449978
1986-04-18,6.2191,6.4794,6.6766,6.945,7.112,7.2671,7.5135,7.6311,7.90004893886351,-2.02789664573853,-618.937054763387,619.453900177583,3.90007659905482,3.89645883408149
1986-04-29,6.6093,6.9409,7.1439,7.3567,7.4666,7.5851,7.8885,8.0527,8.40315024011612,-2.34025587923493,-619.104845317187,619.286502252429,2.88906021301878,2.88212690383923
1986-05-08,6.5388,6.9003,7.1357,7.4019,7.5425,7.6728,7.9221,8.0421,8.29473932474848,-2.31973478639522,-618.870224232367,619.519322788258,2.83804000796601,2.83344405572226
1986-05-19,6.8433,7.3737,7.7,8.0183,8.1367,8.2094,8.3921,8.5247,8.83012132495753,-2.83788858786528,-618.259077102022,620.127937455683,3.1375721207378,3.12763662996584
1986-05-29,6.8553,7.3799,7.7001,8.0134,8.1338,8.2084,8.3441,8.4228,8.59401584579696,-2.59201859202205,-618.140287321126,620.246013876545,2.81142857144895,2.80533835310534
1986-06-09,6.9509,7.4571,7.7755,8.1128,8.273,8.4109,8.6898,8.8336,9.13948981840969,-2.99797658142273,-618.561008936776,619.827645198034,2.84330526445941,2.83641988936141
1986-06-18,6.7329,7.1193,7.36,7.6258,7.7765,7.9441,8.3323,8.5248,8.92823848624716,-2.82883657638072,-619.181804352205,619.209972412176,2.76099040902887,2.75391609030035
1986-06-27,6.5849,6.9864,7.2386,7.5102,7.6487,7.7826,8.0737,8.2216,8.53446922005349,-2.59642983194975,-618.878855863406,619.510336918203,2.82182907552216,2.81561091460658
1986-07-09,6.4296,6.843,7.1112,7.4063,7.5527,7.6852,7.9972,8.185,8.60691126541067,-2.81670602064155,-618.892545247504,619.496657801956,3.24904867893018,3.24013875569903
1986-07-18,6.2121,6.5961,6.8562,7.1831,7.3929,7.6231,8.0781,8.2819,8.7028825142827,-3.08030450208371,-619.37335247936,619.017565484364,2.70684056344325,2.70145419274137
1986-07-29,6.4265,6.7931,7.0497,7.3951,7.6385,7.9217,8.4846,8.7312,9.23777262800142,-3.364552429963,-619.718243690623,618.672694779734,2.65663625145527,2.65100126731296
1986-08-07,6.2286,6.639,6.9383,7.3452,7.615,7.8927,8.3514,8.533,8.90133617234972,-3.25830454271062,-619.391347208108,618.99737046588,2.53693161834678,2.53404442906955
1986-08-18,5.9733,6.3566,6.6395,7.0226,7.2708,7.5209,7.9451,8.1248,8.49682936331904,-3.05664434467564,-619.214671777175,619.172731194067,2.94404205237508,2.94073486493763
1986-08-27,5.7644,6.1349,6.4223,6.8415,7.137,7.4508,7.9778,8.1889,8.61880779120441,-3.34801312003246,-619.601691502442,618.78663950714,2.71707942730191,2.71451224414483
1986-09-08,5.7967,6.32,6.6886,7.1749,7.4955,7.8355,8.4348,8.6811,9.1828061597399,-4.16276043281122,-619.458186330292,618.928228057286,2.54922515127147,2.54423045198687
1986-09-17,5.8603,6.3905,6.7609,7.2504,7.5791,7.9361,8.5762,8.839,9.37317246613358,-4.31168567693574,-619.5725451614,618.814206656495,2.49286430355377,2.48738490900676
