fecha_dia,nemotecnico,dias_al_vencimiento,rate
2026-03-11,TFIT05220829,1260,13.903157894736843
2026-03-11,TFIT05270230,1449,14.177499999999998
2026-03-11,TFIT08031127,602,13.595833333333333
2026-03-11,TFIT10260331,1841,13.985
2026-03-11,TFIT11090233,2527,13.631428571428572
2026-03-11,TFIT11240135,3241,13.522142857142857
2026-03-11,TFIT16090736,3773,13.092
2026-03-11,TFIT16180930,1652,14.08
2026-03-11,TFIT16181034,3143,13.2195
2026-03-11,TFIT16280428,779,13.837333333333333
2026-03-11,TFIT16281140,5376,13.299684210526316
2026-03-11,TFIT16300632,2303,13.627
2026-03-11,TFIT21280542,5922,13.17111111111111
2026-03-11,TFIT23250746,7441,13.251875
2026-03-11,TFIT31261050,8995,12.8
2026-03-11,TFIT34130358,11690,13.234
